DATE_TIME,current_contract,next_contract,carry_contract
2020-05-18 23:00:00,20200900,20210100,20200500
2020-09-11 23:00:00,20210100,20210500,20200900
2021-01-15 23:00:00,20210500,20210900,20210100
2021-05-19 23:00:00,20210900,20220100,20210500
2021-09-14 23:00:00,20220100,20220500,20210900
2022-01-17 23:00:00,20220500,20220900,20220100
2022-05-18 23:00:00,20220900,20230100,20220500
2022-09-15 23:00:00,20230100,20230500,20220900
2023-01-16 23:00:00,20230500,20230900,20230100
2023-05-17 23:00:00,20230900,20240100,20230500
2023-09-14 23:00:00,20240100,20240500,20230900
2024-01-15 23:00:00,20240500,20240900,20240100
2024-05-17 23:00:00,20240900,20250100,20240500
2024-09-13 23:00:00,20250100,20250500,20240900
2025-01-15 23:00:00,20250500,20250900,20250100
2025-05-19 23:00:00,20250900,20260100,20250500
2025-09-12 23:00:00,20260100,20260500,20250900
2026-01-16 23:00:00,20260500,20260900,20260100
2026-05-19 23:00:00,20260900,20270100,20260500
