DATE_TIME,current_contract,next_contract,carry_contract
2014-08-15 23:00:00,20140900,20141200,20141200
2014-11-13 23:00:00,20141200,20150600,20150600
2015-05-15 23:00:00,20150600,20150900,20150900
2015-08-17 23:00:00,20150900,20151200,20151200
2015-11-16 23:00:00,20151200,20160600,20160600
2016-05-16 23:00:00,20160600,20160900,20160900
2016-08-16 23:00:00,20160900,20161200,20161200
2016-11-15 23:00:00,20161200,20170600,20170600
2017-05-16 23:00:00,20170600,20170900,20170900
2017-08-16 23:00:00,20170900,20171200,20171200
2017-11-15 23:00:00,20171200,20180600,20180600
2018-05-16 23:00:00,20180600,20180900,20180900
2018-08-16 23:00:00,20180900,20181200,20181200
2018-11-15 23:00:00,20181200,20190600,20190600
2019-05-16 23:00:00,20190600,20190900,20190900
2019-08-16 23:00:00,20190900,20191200,20191200
2019-11-15 23:00:00,20191200,20200600,20200600
2020-05-15 23:00:00,20200600,20200900,20200900
2020-08-17 23:00:00,20200900,20201200,20201200
2020-11-16 23:00:00,20201200,20210600,20210600
2021-05-17 23:00:00,20210600,20210900,20210900
2021-08-16 23:00:00,20210900,20211200,20211200
2021-11-15 23:00:00,20211200,20220600,20220600
2022-05-16 23:00:00,20220600,20220900,20220900
2022-08-16 23:00:00,20220900,20221200,20221200
2022-11-15 23:00:00,20221200,20230600,20230600
2023-05-16 23:00:00,20230600,20230900,20230900
2023-08-16 23:00:00,20230900,20231200,20231200
2023-11-15 23:00:00,20231200,20240600,20240600
2024-05-16 23:00:00,20240600,20240900,20240900
2024-08-16 23:00:00,20240900,20241200,20241200
2024-11-15 23:00:00,20241200,20250600,20250600
2025-05-16 23:00:00,20250600,20250900,20250900
2025-08-15 23:00:00,20250900,20251200,20251200
2025-11-14 23:00:00,20251200,20260600,20260600
2026-05-15 23:00:00,20260600,20260900,20260900
2026-08-17 23:00:00,20260900,20261200,20261200
